Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	kmer_content	per_sequence_quality_scores
SRR6417885_trmd_1_1P	pass	0.0	fail	145.761170066	Sanger / Illumina 1.9	pass	warn	40-150	Conventional base calls	pass	pass	23601070.0	pass	fail	pass	51.0	49.9398951002	SRR6417885_trmd_1_1P.fastq.gz	fail	pass
SRR6417885_trmd_1_1U	pass	0.0	warn	126.891657928	Sanger / Illumina 1.9	pass	warn	40-150	Conventional base calls	pass	pass	13471101.0	pass	fail	pass	51.0	61.9280795492	SRR6417885_trmd_1_1U.fastq.gz	fail	pass
SRR6417885_trmd_1_2P	pass	0.0	warn	137.476498015	Sanger / Illumina 1.9	pass	warn	40-150	Conventional base calls	pass	pass	23601070.0	pass	fail	pass	51.0	51.4778161531	SRR6417885_trmd_1_2P.fastq.gz	fail	pass
SRR6417885_trmd_1_2U	pass	0.0	pass	105.015791688	Sanger / Illumina 1.9	pass	warn	40-150	Conventional base calls	pass	pass	986405.0	pass	fail	pass	52.0	87.3122943603	SRR6417885_trmd_1_2U.fastq.gz	fail	pass
SRR6417886_trmd_1_1P	pass	0.0	warn	145.822615029	Sanger / Illumina 1.9	pass	warn	40-150	Conventional base calls	pass	pass	21817102.0	pass	fail	pass	51.0	50.4281286526	SRR6417886_trmd_1_1P.fastq.gz	fail	pass
SRR6417886_trmd_1_1U	pass	0.0	warn	125.835273728	Sanger / Illumina 1.9	pass	warn	40-150	Conventional base calls	pass	pass	12030716.0	pass	fail	pass	51.0	62.9303520214	SRR6417886_trmd_1_1U.fastq.gz	fail	pass
SRR6417886_trmd_1_2P	pass	0.0	warn	136.394170867	Sanger / Illumina 1.9	pass	warn	40-150	Conventional base calls	pass	pass	21817102.0	pass	fail	pass	51.0	52.0317074514	SRR6417886_trmd_1_2P.fastq.gz	fail	pass
SRR6417886_trmd_1_2U	pass	0.0	pass	103.792492727	Sanger / Illumina 1.9	pass	warn	40-150	Conventional base calls	pass	pass	877256.0	pass	fail	pass	52.0	87.7107569889	SRR6417886_trmd_1_2U.fastq.gz	fail	pass
SRR6417887_trmd_1_1P	pass	0.0	fail	145.76791819	Sanger / Illumina 1.9	pass	warn	40-150	Conventional base calls	pass	pass	23969078.0	pass	fail	pass	51.0	49.0787787108	SRR6417887_trmd_1_1P.fastq.gz	fail	pass
SRR6417887_trmd_1_1U	pass	0.0	warn	126.254889494	Sanger / Illumina 1.9	pass	warn	40-150	Conventional base calls	pass	pass	13409517.0	pass	fail	pass	51.0	61.3122987258	SRR6417887_trmd_1_1U.fastq.gz	fail	pass
