Sample	FastQC_mqc-generalstats-percent_fails	FastQC_mqc-generalstats-avg_sequence_length	FastQC_mqc-generalstats-percent_duplicates	FastQC_mqc-generalstats-total_sequences	FastQC_mqc-generalstats-percent_gc
SRR6417885_trmd_1_1P	27.2727272727	145.761170066	50.0601048998	23601070.0	51.0
SRR6417885_trmd_1_1U	18.1818181818	126.891657928	38.0719204508	13471101.0	51.0
SRR6417885_trmd_1_2P	18.1818181818	137.476498015	48.5221838469	23601070.0	51.0
SRR6417885_trmd_1_2U	18.1818181818	105.015791688	12.6877056397	986405.0	52.0
SRR6417886_trmd_1_1P	18.1818181818	145.822615029	49.5718713474	21817102.0	51.0
SRR6417886_trmd_1_1U	18.1818181818	125.835273728	37.0696479786	12030716.0	51.0
SRR6417886_trmd_1_2P	18.1818181818	136.394170867	47.9682925486	21817102.0	51.0
SRR6417886_trmd_1_2U	18.1818181818	103.792492727	12.2892430111	877256.0	52.0
SRR6417887_trmd_1_1P	27.2727272727	145.76791819	50.9212212892	23969078.0	51.0
SRR6417887_trmd_1_1U	18.1818181818	126.254889494	38.6877012742	13409517.0	51.0
SRR6417887_trmd_1_2P	18.1818181818	137.677348582	49.3525942593	23969078.0	51.0
SRR6417887_trmd_1_2U	18.1818181818	105.935494432	13.1226675381	992705.0	52.0
SRR6417888_trmd_1_1P	18.1818181818	146.166231238	47.6064802934	20000994.0	51.0
SRR6417888_trmd_1_1U	18.1818181818	127.758067596	37.4042539147	14269833.0	52.0
SRR6417888_trmd_1_2P	18.1818181818	134.895184059	45.386877919	20000994.0	51.0
SRR6417888_trmd_1_2U	18.1818181818	101.296762177	10.3283744914	715172.0	52.0
SRR6417889_trmd_1_1P	27.2727272727	146.483089134	51.3060523298	25731119.0	51.0
SRR6417889_trmd_1_1U	18.1818181818	127.447978765	39.2105448881	16308023.0	52.0
SRR6417889_trmd_1_2P	18.1818181818	136.941278069	47.3684172489	25731119.0	51.0
SRR6417889_trmd_1_2U	18.1818181818	104.159515285	11.27637984	811941.0	52.0
SRR6417890_trmd_1_1P	27.2727272727	146.948612115	50.5598031342	26235775.0	51.0
SRR6417890_trmd_1_1U	18.1818181818	128.283839928	37.7024524795	14943102.0	51.0
SRR6417890_trmd_1_2P	18.1818181818	137.513180038	46.8697536605	26235775.0	51.0
SRR6417890_trmd_1_2U	18.1818181818	105.208228289	10.6891691075	666384.0	51.0
